"mean_time_sec";"0.00990743637084961"
"mean_time_millisec";"9.90743637084961"
"mean_time_min";"0.00016512393951416017"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0011780657170038246"
"mean_sum";"0.6693333333333334"
"mean_sum_per";"66.933"
"std_sum";"0.01959591794226544"
"mean_prod";"0.6693333333333334"
"mean_prod_per";"66.933"
"std_prod";"0.01959591794226544"
"mean_max";"0.6693333333333334"
"mean_max_per";"66.933"
"std_max";"0.01959591794226544"
"best_mean_rule";"sum"
"BEST_MEAN";"0.6693333333333334"
"BEST_MEAN_per";"66.933"
"best_mean_std";"0.01959591794226544"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.6933333333333334"
"best_fold_accuracy_per";"69.333"
"best_params";"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}"
