"mean_time_sec";"0.0223447322845459"
"mean_time_millisec";"22.3447322845459"
"mean_time_min";"0.00037241220474243164"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.00020391385644988392"
"mean_sum";"0.68"
"mean_sum_per";"68.0"
"std_sum";"0.04044200236827491"
"mean_prod";"0.68"
"mean_prod_per";"68.0"
"std_prod";"0.04044200236827491"
"mean_max";"0.68"
"mean_max_per";"68.0"
"std_max";"0.04044200236827491"
"best_mean_rule";"sum"
"BEST_MEAN";"0.68"
"BEST_MEAN_per";"68.0"
"best_mean_std";"0.04044200236827491"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.7333333333333333"
"best_fold_accuracy_per";"73.333"
"best_params";"{'kernel': 'sigmoid'}"
